title,url,image,price,originalPrice,discountPercent,rating,reviewCount,soldCount,location,category,marketplace,affiliateUrl,notes
"Celana Panjang Cargo Anak Corduroy Premium (1-12 th) by Alfat.storee - hitam, S (cargo), Ready",https://www.tokopedia.com/alfatstore-817/celana-panjang-cargo-anak-corduroy-premium-1-12-th-by-alfat-storee-1734166570207184322,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,46500,150000,69,,,,,Fashion,tokopedia,,
"[Free Stiker Nama] Kaos Anak Hykids Motif Snack untuk usia 1-12 Tahun Laki-laki dan perempuan - TM 01, 1-2 Tahun (M)",https://www.tokopedia.com/distro-anak77/free-stiker-nama-kaos-anak-hykids-motif-snack-untuk-usia-1-12-tahun-laki-laki-dan-perempuan-1734045586578834524,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,28999,49998,42,4.8,10000,,,Fashion,tokopedia,,
"Setelan Anak Laki-Laki Motif Pelangi Lengan Pendek Usia 1-5Tahun - 040B, 4-12BULAN",https://www.tokopedia.com/rainbowbabystore/setelan-anak-laki-laki-motif-pelangi-lengan-pendek-usia-1-5tahun-1733198783609341730,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,36800,80000,54,4.8,438,,Kab. Bekasi,Fashion,tokopedia,,
"one set kancing pendek stelan baju anak bahan rib usia 1-5 thn - Hitam, S 0-1 thn",https://www.tokopedia.com/husna-ol-shop/set-kancing-pendek-stelan-baju-anak-bahan-rib-usia-1-5-thn-1734878100721730624-1734878170584417344,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,33250,47500,30,,,,,Fashion,tokopedia,,
"ANIME KOREA STYLES Unisex Baju Anak Perempuan Alsakids.id Motif-Angka Kaos Pendek Fashion 1-13 Tahun - 100% Cotton Combed (PREMIUM) - Putih, S (1-2Thn)",https://www.tokopedia.com/alsakidsid/anime-korea-styles-unisex-baju-anak-perempuan-alsakids-id-motif-angka-kaos-pendek-fashion-1-13-tahun-100-cotton-combed-premium-1731812346036782874,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,35500,150000,76,4.8,848,,Kab. Bandung,Fashion,tokopedia,,
"SETELAN PENDEK BAJU ANAK CEWEK UNIK LUCU MOTIF BARU SETELAN KIMONO SIZE M L XL 2XL 3XL - stitch biru, M(4-5 thn)",https://www.tokopedia.com/tom-kids-collection/setelan-pendek-baju-anak-cewek-unik-lucu-motif-baru-setelan-kimono-size-m-l-xl-2xl-3xl-1732378160764258299,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,34320,52000,34,,,,,Fashion,tokopedia,,
"Jejukids- Baju anak Lengan panjang perempuan dan laki laki cotton 24s strip salur Fashion - Cream, S- 1-2 THN",https://www.tokopedia.com/jejukids-store/jejukids-baju-anak-lengan-panjang-perempuan-dan-laki-laki-cotton-24s-strip-salur-fashion-1733270544239330761,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,39690,49000,19,4.8,726,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"Setelan Anak Pinguin Muslim Anak Perempuan Celana Panjang Baju Atasan Kekinian Gambar Kicau Mania Tinju - Hitam, 04:(2-3THN",https://www.tokopedia.com/rafael-fashion-style/setelan-anak-pinguin-muslim-anak-perempuan-celana-panjang-baju-atasan-kekinian-gambar-kicau-mania-tinju-1735587207324468306-1735587208426194002,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,31020,33000,6,4.8,156,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
"SETELAN ANAK PEREMPUAN TERBARU FREE TAS ONE SET ANAK PEREMPUAN SEDANG VIRAL SETELAN ANAK GADIS DESA PLUS TAS UNTUK USIA 1-12 TAHUN - ungu, 3 tahun",https://www.tokopedia.com/nadhira-fhasioan-kids23/setelan-anak-perempuan-terbaru-free-tas-one-set-anak-perempuan-sedang-viral-setelan-anak-gadis-desa-plus-tas-untuk-usia-1-12-tahun-1735333868968707466-1735334127542109578,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,38675,45500,15,4.8,296,,Kab. Bekasi,Fashion,tokopedia,,
"JTKIDS DRESS ANAK PEREMPUAN HANN - HANNA, M",https://www.tokopedia.com/jtkids-only/jtkids-dress-anak-perempuan-hanna-1731126809308988442,https://p16-assets-sg.tokopedia-static.net/tos-alisg-i-cqp9s0kcd0-sg/assets-tokopedia-lite/v2/zeus/production/e5b8438b.svg,26500,60000,56,4.8,1818,,Kota Administrasi Jakarta Barat,Fashion,tokopedia,,
